Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA▼,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
98,Glenn Wilson\wilsogl01,28,PHI,NL,154,614,569,55,150,21,2,14,54,3,6,38,82,0.264,0.308,0.381,0.689,80,217,18,1,0,6,2,*9/H1
99,Jesse Barfield\barfije01,27,TOR,AL,159,654,590,89,155,25,3,28,84,3,5,58,141,0.263,0.331,0.458,0.788,105,270,13,3,1,2,7,*98H
100,Alfredo Griffin#\griffal01,29,OAK,AL,144,539,494,69,130,23,5,3,60,26,13,28,41,0.263,0.306,0.348,0.654,79,172,9,4,10,3,2,*6/H4
101,Tom Herr#\herrto01,31,STL,NL,141,598,510,73,134,29,0,2,83,19,4,68,62,0.263,0.346,0.331,0.677,80,169,12,3,4,12,3,*4/H
102,Ruben Sierra#\sierrru01,21,TEX,AL,158,696,643,97,169,35,4,30,109,16,11,39,114,0.263,0.302,0.47,0.771,101,302,18,2,0,12,4,*9/8H
103,Devon White#\whitede03,24,CAL,AL,159,696,639,103,168,33,5,24,87,32,11,39,135,0.263,0.306,0.443,0.749,99,283,8,2,14,2,2,*98/7H
104,LgAvg per 600 PA,,,,192,600,534,73,140,25,3,16,69,13,6,53,93,0.262,0.33,0.413,0.743,,221,12,3,5,4,5,
105,Barry Bonds*\bondsba01,22,PIT,NL,150,611,551,99,144,34,9,25,59,32,10,54,88,0.261,0.329,0.492,0.821,114,271,4,3,0,3,3,*78H/9
106,Tom Brunansky\brunato01,26,MIN,AL,155,614,532,83,138,22,2,32,85,11,11,74,104,0.259,0.352,0.489,0.841,118,260,12,4,0,4,5,*97D/H
107,Spike Owen#\owensp01,26,BOS,AL,132,504,437,50,113,17,7,2,48,11,8,53,43,0.259,0.337,0.343,0.681,80,150,9,1,9,4,2,*6/H
108,Jose Canseco\cansejo01,22,OAK,AL,159,691,630,81,162,35,3,31,113,15,3,50,157,0.257,0.31,0.47,0.78,110,296,16,2,0,9,2,*7D/H
109,Darrell Evans*\evansda01,40,DET,AL,150,609,499,90,128,20,0,34,99,6,5,100,84,0.257,0.379,0.501,0.88,135,250,2,2,2,6,8,3DH/5
110,Gary Gaetti\gaettga01,28,MIN,AL,154,628,584,95,150,36,2,31,109,10,7,37,92,0.257,0.303,0.485,0.788,102,283,25,3,1,3,7,*5/HD
111,Carlton Fisk\fiskca01,39,CHW,AL,135,508,454,68,116,22,1,23,71,1,4,39,72,0.256,0.321,0.46,0.782,103,209,9,8,1,6,8,*2H/3D7
